artist,album,track,uri,time_signature,popularity_levels,album.release_year_category,artist.id,artist.genres,estimated_genre_type,genre_category
Miles Davis,Kind Of Blue,"So What (feat. John Coltrane, Cannonball Adderley & Bill Evans)",7q3kkfAVpmcZ8g6JUThi3o,4,"(24,85]","[1957,2002]",0kbYTNQb4Pb1rPbbaF0pT4,cool jazz|hard bop|jazz|jazz fusion|jazz trumpet|uk contemporary jazz,jazz,jazz
Death Grips,Year Of The Snitch,Little Richard,7HmEH46Z57kyKbVO8JvlQQ,4,"(24,85]","(2015,2022]",5RADpgYLOuS2ZxDq7ggYYH,escape room|experimental hip-hop|industrial hip-hop,experimental,other
rü,terodesu,Martes,21BbOPPTEVekAMPizpXBFI,4,"[0,1]","(2015,2022]",1slGKMObSjFDHaNM5ILhSv,peruvian indie,indie,indie
The Delgados,Hate,All Rise,1qJNPbKQFCrZN4pgFKbr2J,3,"[0,1]","[1957,2002]",4wavWMHhIiUXxwCuWsHzXo,britpop|scottish indie,indie,indie
Dexter Gordon,Our Man In Paris,Scrapple From The Apple - Rudy Van Gelder Edition / 2003 Remaster,5f4V1rtxYYbGnTbITkkIV7,4,"(24,85]","[1957,2002]",3NUsiT2JSyaWAnWaXxDzhQ,bebop|hard bop|jazz|jazz saxophone|vocal jazz,jazz,jazz
The Cannonball Adderley Quintet,Cannonball Adderley Quintet In Chicago,Grand Central,2Iyp24TpgQhaZ5hcehCtTe,4,"[0,1]","[1957,2002]",2o346NHhUAlVxl5uXBVxK7,bebop|big band|hard bop|jazz|jazz funk|jazz fusion|jazz saxophone|soul jazz,jazz,jazz
Branford Marsalis Quartet,Requiem,Elysium,5K8OoYg2j81FOXXPotZ6HR,3,"(1,24]","[1957,2002]",795yvukGj0UOfcP8uftDq9,jazz quartet,jazz,jazz
The Delgados,Hate,All You Need Is Hate,03fUzcirkyM0v0xDKl4MnP,4,"[0,1]","[1957,2002]",4wavWMHhIiUXxwCuWsHzXo,britpop|scottish indie,indie,indie
John Coltrane,My Favorite Things,"My Favorite Things, Pt. 1 - Single Version",71PIBY7M98pNGZQkl18ULu,3,"(24,85]","[1957,2002]",2hGh5VOeeqimQFxqXvfCUf,bebop|free jazz|jazz|jazz saxophone,jazz,jazz
Amigos de Teresa,"Ni Pasivos, Ni Activos ¡Modernos!",Lánzala,6QwAWIfsGL3Ph7hORkImqQ,4,"[0,1]","(2015,2022]",61h4Emw4bK9s9TR0aD2lzk,,,Not Assigned
rü,terodesu,Nubes,5hJjjtPe2K46uhbblZCztV,1,"[0,1]","(2015,2022]",1slGKMObSjFDHaNM5ILhSv,peruvian indie,indie,indie
Ensiferum,Ensiferum,Abandoned,1jWzgu2yQbxnugXE1LDg7O,3,"(24,85]","[1957,2002]",0krXCIkthz13P8o0v2tksH,finnish melodeath|finnish metal|folk metal|melodic death metal|metal|nordic folk metal|power metal|viking metal,metal,other
Terell Stafford,New Beginnings,Kumbaya,4M1vFfgfd2y6kB3WxJpHE4,4,"[0,1]","(2002,2010]",7rF1f3ZbidUhK24k7N8RcB,jazz trumpet,jazz,jazz
Donald Harrison,The Chosen,I'm the Big Chief of Congo Square,1UDQyEZ8X26VhMBz2DglS2,4,"[0,1]","(2002,2010]",53pHwg1sjhqGk726JnJHYb,jazz saxophone|new orleans jazz,jazz,jazz
Beck,Scott Pilgrim vs. the World (Original Motion Picture Soundtrack),Ramona,4XU6KI5FZ9ymoJGC49R3lm,4,"[0,1]","(2002,2010]",0LyfQWJT6nXafLPZqxe9Of,,,Not Assigned
John Coltrane,Both Directions At Once: The Lost Album,"One Up, One Down - Take 6",4rIgs7ki23t93piGoaqNkN,4,"(1,24]","(2015,2022]",2hGh5VOeeqimQFxqXvfCUf,bebop|free jazz|jazz|jazz saxophone,jazz,jazz
John Coltrane,Coltrane's Sound,Equinox,1OtISG0K02k06m1BENey4H,4,"(24,85]","[1957,2002]",2hGh5VOeeqimQFxqXvfCUf,bebop|free jazz|jazz|jazz saxophone,jazz,jazz
Anamanaguchi,Endless Fantasy,Canal Paradise,3aIV6v1IjdWgXx3SlPoOsT,4,"[0,1]","(2010,2015]",2UwJRAgSOi1zcLkvUNc8XL,bitpop|chiptune|indie game soundtrack|nintendocore,indie,indie
The Fall of Troy,Doppelganger,I Just Got This Symphony Goin',4MvqIDlozKlAC2XaDO6Ri6,4,"(24,85]","(2002,2010]",5fuQrhMRYMtoO9uOlFad4P,post-hardcore|progressive post-hardcore|sasscore|screamo|swancore,post-hardcore,other
Anamanaguchi,Endless Fantasy,Bosozoku GF,15ytCRCtcC4vBpKE0v75YD,4,"[0,1]","(2010,2015]",2UwJRAgSOi1zcLkvUNc8XL,bitpop|chiptune|indie game soundtrack|nintendocore,indie,indie
Charles McPherson,First Flight Out,Deep Night,0U2XQCVebDSDvryRrsdgbe,4,"[0,1]","(2002,2010]",6iRat96avb9tai5DCUZ7qf,,,Not Assigned
Charles McPherson,Siku Ya Bibi,Lover Come Back To Me,40erzF2DKeItmNPAE8hbtd,3,"[0,1]","[1957,2002]",6iRat96avb9tai5DCUZ7qf,,,Not Assigned
KNOWER,Think Thoughts,Things About You Remix (feat. Vikram),50oZCMNd6LKWKj0wHbyu2f,4,"(1,24]","(2010,2015]",7fVp0A6oCMfiQJihMnY0SZ,la pop,pop,pop
