artist,album,track,uri,time_signature,popularity_levels,album.release_year_category,artist.id,artist.genres,estimated_genre_type,genre_category
MGMT,Congratulations,I Found a Whistle,3hWoBXsJfXFQDp92v14xFI,3,"(24,85]","(2002,2010]",0SwO7SWeDHJijQ3XNS7xEE,alternative dance|indietronica|modern rock|rock,alternative,alternative
What the Tango?!,Alt Mission,Que Vuelva La Lluvia (Eo Remix),0LmQOJrajweoGhcecFdIal,4,"[0,1]","(2010,2015]",1Rs2sifpDyJ0vJ2picQOUd,,,Not Assigned
John Coltrane,Giant Steps,Spiral,3E7FQp6WyhCNVgcWeEZFJw,4,"[0,1]","[1957,2002]",2hGh5VOeeqimQFxqXvfCUf,bebop|free jazz|jazz|jazz saxophone,jazz,jazz
Black Lips,Scott Pilgrim vs. the World (Original Motion Picture Soundtrack),O Katrina!,4Qudfeu1KaLd52nii47NUD,4,"[0,1]","(2002,2010]",0LyfQWJT6nXafLPZqxe9Of,,,Not Assigned
Lauren Sevian,Bliss,Minimal Moves,72KvT2ZF76D6HkhYC4u4Ty,4,"[0,1]","(2015,2022]",0Y6aUM2yWtx0OEBMhtVjDv,jazz saxophone,jazz,jazz
Alexa Tarantino,Crossing Paths,A Beautiful Friendship,1cygUU0sKiVOE9X7DTFgn5,4,"[0,1]","(2010,2015]",4iP863xgxxSQUbKm7SVwXh,straight-ahead jazz,jazz,jazz
Donald Harrison,Quantum Leap,Quantum Leap,2vwDYObx7qdyqMYDDtqKqE,4,"(1,24]","(2002,2010]",53pHwg1sjhqGk726JnJHYb,jazz saxophone|new orleans jazz,jazz,jazz
What the Tango?!,Alt Mission,Bohemio,3xXBUTJOSsxOaIyYbisEJr,4,"[0,1]","(2010,2015]",1Rs2sifpDyJ0vJ2picQOUd,,,Not Assigned
The Cannonball Adderley Quintet,Cannonball Adderley Quintet In Chicago,The Sleeper,4JyPWE9OFzDMMqm62ski2L,4,"[0,1]","[1957,2002]",2o346NHhUAlVxl5uXBVxK7,bebop|big band|hard bop|jazz|jazz funk|jazz fusion|jazz saxophone|soul jazz,jazz,jazz
Alexa Tarantino,Crossing Paths,Crossing Paths,5aeG7bbd4N5J2ZsM0ZTNTp,4,"[0,1]","(2010,2015]",4iP863xgxxSQUbKm7SVwXh,straight-ahead jazz,jazz,jazz
Bernard Herrmann,Jazz in Film,Taxi Driver,4VYt5uJgILWehMiDXSutKs,3,"(1,24]","[1957,2002]",0LyfQWJT6nXafLPZqxe9Of,,,Not Assigned
John Coltrane Sextet,Blue Train,Locomotion,36J4yloliKWHzAEhy2eHuF,4,"[0,1]","(2002,2010]",05TV25sw3rO4b7QUjcQcF2,spiritual jazz,jazz,jazz
Charlie Parker,Best of the Complete Savoy & Dial Studio Recordings,Koko,4nb7JgtHyF1fQvxJISwg6h,4,"[0,1]","[1957,2002]",4Ww5mwS7BWYjoZTUIrMHfC,bebop|big band|cool jazz|jazz|jazz fusion|jazz saxophone|uk contemporary jazz,jazz,jazz
Dave Liebman,Solo (Live in New York),Soprano Solo (Live),2utf4zLSlBAhdIV0ix3VOO,3,"[0,1]","(2010,2015]",429bUEZe2Hq5QJvO2CmhLn,avant-garde jazz|contemporary jazz|contemporary post-bop|ecm-style jazz|free jazz|italian jazz|japanese jazz|jazz|jazz fusion|jazz saxophone|swedish jazz|uk contemporary jazz,jazz,jazz
Red Velvet,Our Beloved BoA #4 - SM STATION,Milky Way,2Oj5hRhkJH00VGzjBdQNq3,4,"(24,85]","(2015,2022]",1z4g3DjTBBZKhvAroFlhOM,k-pop|k-pop girl group,k-pop,other
Flying Lotus,Cosmogramma,Table Tennis,4HyhcY8J1NWnOu1YjUwy6h,4,"(24,85]","(2002,2010]",29XOeO6KIWxGthejQqn793,afrofuturism|alternative hip-hop|electronica|escape room|experimental hip-hop|glitch|glitch hop|hip-hop|intelligent dance music|jazztronica|psychedelic hip-hop|wonky,alternative,alternative
bôa,Twilight,Rain,1tgsUrBNQ9qBtl0OdsOGso,4,"[0,1]","[1957,2002]",5jTtGLk1mGFMY5lQOvJYUj,,,Not Assigned
Flying Lotus,Cosmogramma,...And The World Laughs With You,6F0UFeNt06zoRSRt9zOZ4z,4,"(24,85]","(2002,2010]",29XOeO6KIWxGthejQqn793,afrofuturism|alternative hip-hop|electronica|escape room|experimental hip-hop|glitch|glitch hop|hip-hop|intelligent dance music|jazztronica|psychedelic hip-hop|wonky,alternative,alternative
re:plus,Miscellany,"Sunrise, Sunset",3pFbuFqsZakrCSlfAoQXee,4,"(1,24]","(2010,2015]",6ftHlqrtNdAq0bWL7zkaTG,ambeat|japanese jazz fusion,jazz,jazz
Chick Corea,Hot House,Chega de Saudade,4ub9KZHrMaMKHMdhZo5PN6,4,"(1,24]","(2010,2015]",5olDKSsFhhmwh8UCWwKtpq,contemporary jazz|contemporary post-bop|ecm-style jazz|jazz|jazz fusion|jazz piano|uk contemporary jazz,jazz,jazz
Charlie Parker,Charlie Parker With Strings,I'll Remember April,3ybQXKbjyjuqB17dLkyVJ2,4,"[0,1]","(2010,2015]",4Ww5mwS7BWYjoZTUIrMHfC,bebop|big band|cool jazz|jazz|jazz fusion|jazz saxophone|uk contemporary jazz,jazz,jazz
Red Velvet,The Red - The 1st Album,Day 1,74muMkVdMYoR65lhmdzy13,4,"(24,85]","(2010,2015]",1z4g3DjTBBZKhvAroFlhOM,k-pop|k-pop girl group,k-pop,other
bohemianvoodoo,echoes,Fly Away,76b2pCYiijvjJcQrjoLznG,4,"(1,24]","(2015,2022]",2pKjlyTAEzqUAFsQNCgmkS,japanese jazz|japanese jazz fusion|japanese post-rock,jazz,jazz
bôa,Twilight,Deeply,5wGtTGfUdijlDGrzNO04zl,4,"[0,1]","[1957,2002]",5jTtGLk1mGFMY5lQOvJYUj,,,Not Assigned
Aphex Twin,Collapse EP,MT1 t29r2,766E5SBcB2gZP5wFA6kd7m,4,"(24,85]","(2015,2022]",6kBDZFXuLrZgHnvmPu9NsG,ambient|braindance|electronica|intelligent dance music|uk experimental electronic,uk,other
Slint,Spiderland,"Don, Aman",4gqdSS1QtYfB90n7DECJXZ,4,"[0,1]","[1957,2002]",4IwOItqRhsIoRuD5HP4vyC,alternative rock|art rock|dream pop|experimental|experimental rock|indie rock|louisville underground|math rock|post-hardcore|post-punk|post-rock|slowcore,alternative,alternative
Anamanaguchi,Endless Fantasy,Planet,3HWv1LpUGpYszCUbYWq6OQ,4,"[0,1]","(2010,2015]",2UwJRAgSOi1zcLkvUNc8XL,bitpop|chiptune|indie game soundtrack|nintendocore,indie,indie
"Jose Luis ""Pepe"" Motta",Cuadro De Amigos,Almagreando,1NwliqIFponwPjs0JjgmJB,4,"[0,1]","(2002,2010]",0LyfQWJT6nXafLPZqxe9Of,,,Not Assigned
Cannonball Adderley,Nancy Wilson/Cannonball Adderley,I Can't Get Started - Instrumental,5OJw2p5rD4DwtGOCC438De,3,"(24,85]","[1957,2002]",2JfVCMa3FlvQRlLT5uH9zb,adult standards|lounge|vocal jazz,jazz,jazz
bohemianvoodoo,echoes,石の教会,7zH3xhHgpXnTW0LKMz37Ea,4,"(1,24]","(2015,2022]",2pKjlyTAEzqUAFsQNCgmkS,japanese jazz|japanese jazz fusion|japanese post-rock,jazz,jazz
Bruno Mars,24K Magic,Too Good to Say Goodbye,0B0tYbVp7pDQAqKDhgMeaL,4,"(24,85]","(2015,2022]",0du5cEVh5yTK9QJze8zA0C,dance pop|pop,dance,dance
MGMT,Congratulations,Congratulations,6kblAEj0T0312fv5QWsXzo,4,"(24,85]","(2002,2010]",0SwO7SWeDHJijQ3XNS7xEE,alternative dance|indietronica|modern rock|rock,alternative,alternative
VHS Head,Trademark Ribbons of Gold,The Murder Cycles,73Z14T0xKPAtczrPNTuJiw,4,"(1,24]","(2002,2010]",4yeeydDo3JBOENa72J7KdV,vaporwave,vaporwave,other
Beck,Scott Pilgrim vs. the World (Original Motion Picture Soundtrack),Ramona - Acoustic Version,7opuHC7z0ZuDBCAXS0Pxie,4,"[0,1]","(2002,2010]",0LyfQWJT6nXafLPZqxe9Of,,,Not Assigned
Miles Davis,Kind Of Blue,"All Blues (feat. John Coltrane, Cannonball Adderley & Bill Evans)",0TUa7gBg7LJH6B8dkNVioU,3,"(24,85]","[1957,2002]",0kbYTNQb4Pb1rPbbaF0pT4,cool jazz|hard bop|jazz|jazz fusion|jazz trumpet|uk contemporary jazz,jazz,jazz
KNOWER,Let Go,Dreaming on Forever,2rlOmNdFKtXc6pvjn44kyI,4,"(1,24]","(2010,2015]",7fVp0A6oCMfiQJihMnY0SZ,la pop,pop,pop
Terell Stafford,Brotherlee Love,Speedball,3R2xHzfwOSvuM7uVHC8jbn,4,"(1,24]","(2010,2015]",7rF1f3ZbidUhK24k7N8RcB,jazz trumpet,jazz,jazz
KNOWER,Think Thoughts,What Did I Do To You (feat. John Escreet & Aya Toyoshima),71sBxpTxQfGAcCfUyLFPti,4,"(1,24]","(2010,2015]",7fVp0A6oCMfiQJihMnY0SZ,la pop,pop,pop
DJ Perro,Canis Allegro,Gecko,30tH4DAiJMNkz8ucEY1St0,4,"(24,85]","(2015,2022]",4JBHP6FfjpOBZsb0aY6zxE,indie poblano|instrumental math rock,rock,other
MGMT,Oracular Spectacular,The Handshake,7d4coyGabEbHZ5tRpTbQT5,4,"(24,85]","(2002,2010]",0SwO7SWeDHJijQ3XNS7xEE,alternative dance|indietronica|modern rock|rock,alternative,alternative
John Coltrane,Giant Steps,Naima,360beQMahQ2FdZ9OmWYiBT,3,"[0,1]","[1957,2002]",2hGh5VOeeqimQFxqXvfCUf,bebop|free jazz|jazz|jazz saxophone,jazz,jazz
Silversun Pickups,Carnavas,Lazy Eye,6axAacuCsPeAStu4a2XZA0,4,"[0,1]","(2002,2010]",6qyi8X6MdP1lu6B1K6yh3h,alternative rock|indie rock|la indie|modern rock|rock,alternative,alternative
The Dave Brubeck Quartet,Time Out,Everybody's Jumpin',0UqiOVLfXWKrNVR7easfyq,4,"(1,24]","[1957,2002]",4iRZAbYvBqnxrbs6K25aJ7,bebop|jazz|jazz quartet,jazz,jazz
Lee Morgan,Search For The New Land,Melancholee - Remastered 2000/Rudy Van Gelder Edition,7evUA1KCKUv2cAxRU0hVDI,4,"(24,85]","(2002,2010]",38C3okxv3fyyOIQUVPCdGX,bebop|big band|free jazz|hard bop|jazz|jazz trumpet|soul jazz,jazz,jazz
Manchester Orchestra,Mean Everything To Nothing,My Friend Marcus,5Jo8isdr7Nq4zTeOhmKboG,3,"(24,85]","(2002,2010]",5wFXmYsg3KFJ8BDsQudJ4f,indie rock,rock,other
VHS Head,Trademark Ribbons of Gold,Heartbeat in the Brain,6BOcp9V69Pw9MONxnnnjzQ,4,"[0,1]","(2002,2010]",4yeeydDo3JBOENa72J7KdV,vaporwave,vaporwave,other
KNOWER,Think Thoughts,That's Where You Are,3SiCXFBvSKTKyjdem8IzIr,1,"(1,24]","(2010,2015]",7fVp0A6oCMfiQJihMnY0SZ,la pop,pop,pop
Anamanaguchi,Endless Fantasy,Akira,3zFc5Y7EczGHrfpWlOmzvT,4,"[0,1]","(2010,2015]",2UwJRAgSOi1zcLkvUNc8XL,bitpop|chiptune|indie game soundtrack|nintendocore,indie,indie
Bruno Mars,24K Magic,Calling All My Lovelies,6ObpR8ek44tvWefQRcSo8K,4,"(24,85]","(2015,2022]",0du5cEVh5yTK9QJze8zA0C,dance pop|pop,dance,dance
Monk Rowe,Jazz Life,The Gates of Swing,1v09EZjstAe1bjQcugiDJ2,4,"[0,1]","[1957,2002]",4KXCf2cfl81bcPjvgCB37p,,,Not Assigned
John Coltrane,Both Directions At Once: The Lost Album,Impressions - Take 2,6HfxNxGOkqIE4vTSLyR715,4,"(1,24]","(2015,2022]",2hGh5VOeeqimQFxqXvfCUf,bebop|free jazz|jazz|jazz saxophone,jazz,jazz
Alexa Tarantino,Crossing Paths,Dolphin Dance,4qI2q29JEewxoPh5DsWDKy,3,"[0,1]","(2010,2015]",4iP863xgxxSQUbKm7SVwXh,straight-ahead jazz,jazz,jazz
Death Grips,Year Of The Snitch,Shitshow,3SlHhgFHwavgXWysUg1puS,4,"(24,85]","(2015,2022]",5RADpgYLOuS2ZxDq7ggYYH,escape room|experimental hip-hop|industrial hip-hop,experimental,other
bohemianvoodoo,echoes,Aquarium,0LhD4CymsMXbIzuPhMEel0,4,"(1,24]","(2015,2022]",2pKjlyTAEzqUAFsQNCgmkS,japanese jazz|japanese jazz fusion|japanese post-rock,jazz,jazz
Macross 82-99,CHAM!,Ash (feat. Libano),5Iaz1Uy3UzAcbU9FJFJBqU,4,"(1,24]","(2010,2015]",5C8KyBfvAz9PSaOd30eIow,future funk|kawaii future bass|vaporwave,bass,other
"Lester Young, Roy Eldridge & Vic Dickenson",Jazz Giants -56,You Can Depend On Me,1Lxp1L0IoBRM0kso8NRwct,4,"[0,1]","(2002,2010]",0NKZIt0DlfPgRatwIcoI1A,,,Not Assigned
Ornette Coleman,The Shape Of Jazz To Come,Chronology,14FkDSrkQPko4YMhx6dLI2,4,"(1,24]","[1957,2002]",47odibUtrN3lnWx0p0pk2P,avant-garde jazz|contemporary jazz|contemporary post-bop|experimental|free improvisation|free jazz|japanese jazz|jazz|jazz fusion|jazz saxophone|norwegian contemporary jazz|uk contemporary jazz,jazz,jazz
Venetian Snares,Detrimentalist,Sajtban,0Gze7c07THJhVnFeEUdMVM,1,"[0,1]","(2002,2010]",7eKIP3IoPoUAZgZuvMM6hf,braindance|breakcore|drill and bass|hardcore techno|intelligent dance music,dance,dance
Brian LeBarton,Scott Pilgrim vs. the World (Original Motion Picture Soundtrack),Threshold (8 Bit),7jmaKNqyKlNPKArRhSaLDf,4,"[0,1]","(2002,2010]",0LyfQWJT6nXafLPZqxe9Of,,,Not Assigned
John Coltrane,Both Directions At Once: The Lost Album,Vilia - Take 5,3yXNeZ1Xjsm856UTwZLWiD,3,"(1,24]","(2015,2022]",2hGh5VOeeqimQFxqXvfCUf,bebop|free jazz|jazz|jazz saxophone,jazz,jazz
Shinsei Kamattechan,Minna Sine,kamisama soredeha hidoi nari,0sHN7GzvxytMkFbQ3uq6pW,4,"[0,1]","(2002,2010]",1ZnuqrjIR4q8zhgriUYsSo,japanese alternative rock,alternative,alternative
Lauren Sevian,Bliss,In The Loop,6gtkJcjISkZKoDUH87zGFR,4,"[0,1]","(2015,2022]",0Y6aUM2yWtx0OEBMhtVjDv,jazz saxophone,jazz,jazz
Kinga Glyk,Feelings,OverDrive,5IBgE0J4BVpYyjXKYvwCdi,4,"(1,24]","(2015,2022]",173ko01vSVOZ1opooANOvk,electric bass|modern funk,modern,other
John Coltrane,Coltrane Plays the Blues,Untitled Original (Exotica) - Alternate Take,6hIpfpjnxLZdj5ZD9HMRmv,4,"(1,24]","[1957,2002]",2hGh5VOeeqimQFxqXvfCUf,bebop|free jazz|jazz|jazz saxophone,jazz,jazz
The Flashbulb,Hardscrabble,Seq Changing Airborne,7v9u9PwUjN1owN3rz1LuaA,5,"(1,24]","(2010,2015]",6mMCSCuTbGU6kNr4303LwH,breakcore|drill and bass|intelligent dance music,dance,dance
Portugal. The Man,The Satanic Satanist,Work All Day,2g4KPhbi3sb1O2JulSqaek,4,"[0,1]","(2002,2010]",4kI8Ie27vjvonwaB2ePh8T,modern alternative rock|modern rock|rock,alternative,alternative
Charles McPherson,Siku Ya Bibi,Miss Brown To You,0ZfaDRoDotnWm19nNGmx1l,5,"[0,1]","[1957,2002]",6iRat96avb9tai5DCUZ7qf,,,Not Assigned
KNOWER,Let Go,Spotlight (feat. Vikram),45cgY0HWfz7CLxWtxhoK9B,4,"(1,24]","(2010,2015]",7fVp0A6oCMfiQJihMnY0SZ,la pop,pop,pop
Charlie Parker,Charlie Parker With Strings,They Can't Take That Away From Me - Take 1 / Alternate,0f7mXdKyU3UyUBRjoRToir,4,"[0,1]","(2010,2015]",4Ww5mwS7BWYjoZTUIrMHfC,bebop|big band|cool jazz|jazz|jazz fusion|jazz saxophone|uk contemporary jazz,jazz,jazz
Esther Van Hees,Gelukkig Zijn,Horizontaal,1hDuixgO7BJ4z5PKP428hK,4,"[0,1]","(2015,2022]",6rdunXeB8Ngew2U0ZEKzyZ,,,Not Assigned
Anamanaguchi,Endless Fantasy,Meow,0Rx2P6lc1YIAvpalv5OL17,4,"[0,1]","(2010,2015]",2UwJRAgSOi1zcLkvUNc8XL,bitpop|chiptune|indie game soundtrack|nintendocore,indie,indie
Silversun Pickups,Carnavas,Dream at Tempo 119,15kndWjDYW1vLstH29tUBP,5,"[0,1]","(2002,2010]",6qyi8X6MdP1lu6B1K6yh3h,alternative rock|indie rock|la indie|modern rock|rock,alternative,alternative
Miles Davis,Kind Of Blue,Blue in Green (feat. John Coltrane & Bill Evans),6bP4GyrKNbcKPMDqWJqpxI,3,"(24,85]","[1957,2002]",0kbYTNQb4Pb1rPbbaF0pT4,cool jazz|hard bop|jazz|jazz fusion|jazz trumpet|uk contemporary jazz,jazz,jazz
Terell Stafford,New Beginnings,Berda's Bounce,2eHpiKyB24gmzoy9ybIn8w,4,"[0,1]","(2002,2010]",7rF1f3ZbidUhK24k7N8RcB,jazz trumpet,jazz,jazz
Silversun Pickups,Carnavas,Common Reactor,5ywONxekV1a3MC0z28g0Oy,4,"[0,1]","(2002,2010]",6qyi8X6MdP1lu6B1K6yh3h,alternative rock|indie rock|la indie|modern rock|rock,alternative,alternative
Dave Liebman,Solo (Live in New York),Brothers (Live),0mL6BhHjXuEIgjkT9vhGdJ,4,"[0,1]","(2010,2015]",429bUEZe2Hq5QJvO2CmhLn,avant-garde jazz|contemporary jazz|contemporary post-bop|ecm-style jazz|free jazz|italian jazz|japanese jazz|jazz|jazz fusion|jazz saxophone|swedish jazz|uk contemporary jazz,jazz,jazz
Portugal. The Man,In the Mountain in the Cloud,Sleep Forever,1l5lKWHRfyY7Y3FvDBXlvJ,4,"(24,85]","(2010,2015]",4kI8Ie27vjvonwaB2ePh8T,modern alternative rock|modern rock|rock,alternative,alternative
Venetian Snares,Detrimentalist,Miss Balaton,1erOr4ihldVqbz98BSURcy,4,"[0,1]","(2002,2010]",7eKIP3IoPoUAZgZuvMM6hf,braindance|breakcore|drill and bass|hardcore techno|intelligent dance music,dance,dance
John Coltrane,Giant Steps,Syeeda's Song Flute,6ajMQchIMdFZZfcJZiKhm0,4,"[0,1]","[1957,2002]",2hGh5VOeeqimQFxqXvfCUf,bebop|free jazz|jazz|jazz saxophone,jazz,jazz
Blood Red Shoes,Scott Pilgrim vs. the World (Original Motion Picture Soundtrack),It's Getting Boring By The Sea,7MB6Ngq9bS2T1WZq3uw1rA,4,"[0,1]","(2002,2010]",0LyfQWJT6nXafLPZqxe9Of,,,Not Assigned
Monk Rowe,Jazz Life,Beyond Category,7CPyVZJbIUAsPzaCHmLXXg,4,"[0,1]","[1957,2002]",4KXCf2cfl81bcPjvgCB37p,,,Not Assigned
re:plus,Miscellany,Everblue,41f6RlGnuEHLNWQDc34KbL,4,"(1,24]","(2010,2015]",6ftHlqrtNdAq0bWL7zkaTG,ambeat|japanese jazz fusion,jazz,jazz
John Coltrane,Untitled Original 11383,Untitled Original 11383,4Mxv2NpWywFrS477J9dIuC,4,"[0,1]","(2015,2022]",2hGh5VOeeqimQFxqXvfCUf,bebop|free jazz|jazz|jazz saxophone,jazz,jazz
Macross 82-99,CHAM!,Miss Macross,1UMTkDVCP1Osrt9BLj12go,4,"(24,85]","(2010,2015]",5C8KyBfvAz9PSaOd30eIow,future funk|kawaii future bass|vaporwave,bass,other
Dave Liebman,Solo (Live in New York),Red / Black / White / Grey / Blue / Yellow (Live),0c1AosGxPSvmEtuHyq3uIS,4,"[0,1]","(2010,2015]",429bUEZe2Hq5QJvO2CmhLn,avant-garde jazz|contemporary jazz|contemporary post-bop|ecm-style jazz|free jazz|italian jazz|japanese jazz|jazz|jazz fusion|jazz saxophone|swedish jazz|uk contemporary jazz,jazz,jazz
MGMT,Oracular Spectacular,"Of Moons, Birds & Monsters",0w8dULoVhTuC8x8m8PKwX7,4,"(24,85]","(2002,2010]",0SwO7SWeDHJijQ3XNS7xEE,alternative dance|indietronica|modern rock|rock,alternative,alternative
Taylor Swift,Fearless,Love Story,5hnJCRSo4pxRsaEwT9YusG,4,"(24,85]","(2002,2010]",06HL4z0CvFAxyc27GXpf02,pop,pop,pop
Death Grips,Year Of The Snitch,Flies,2zyBojnQswXrorlyGghkwP,4,"(24,85]","(2015,2022]",5RADpgYLOuS2ZxDq7ggYYH,escape room|experimental hip-hop|industrial hip-hop,experimental,other
Thundercat,It Is What It Is,Unrequited Love,55odIfJy7sm2HkHf3n9Gha,4,"(24,85]","(2015,2022]",4frXpPxQQZwbCu3eTGnZEw,afrofuturism,afrofuturism,other
Shinsei Kamattechan,Minna Sine,speed,3we7dY3WhKoaRQwQnbVKaq,4,"[0,1]","(2002,2010]",1ZnuqrjIR4q8zhgriUYsSo,japanese alternative rock,alternative,alternative
Park So Eun,Gogangdong,You Are My Literature,58uXTOsAxceman70g0WeUO,4,"(24,85]","(2015,2022]",20gFWTh2tofhLIjyn2fHeG,k-indie|korean indie folk,indie,indie
KNOWER,Think Thoughts,Here Comes The Big One (feat. David Binney),0Pq1onPHm0TZFDQcTcRf88,4,"(1,24]","(2010,2015]",7fVp0A6oCMfiQJihMnY0SZ,la pop,pop,pop
Terell Stafford,New Beginnings,Le Maurier,40Lc13R8Yqvk5GssWQWW80,4,"[0,1]","(2002,2010]",7rF1f3ZbidUhK24k7N8RcB,jazz trumpet,jazz,jazz
Manchester Orchestra,Mean Everything To Nothing,The River,7ashhMDsJ4Z0G9OCvAE5Dz,3,"(24,85]","(2002,2010]",5wFXmYsg3KFJ8BDsQudJ4f,indie rock,rock,other
The Dave Brubeck Quartet,Time Out,Strange Meadow Lark,0ivpUENLpheuPoa6VuY1ax,4,"(24,85]","[1957,2002]",4iRZAbYvBqnxrbs6K25aJ7,bebop|jazz|jazz quartet,jazz,jazz
Charlie Parker,Charlie Parker With Strings,April In Paris - Live At Carnegie Hall/1950,4ydow6feAKEeLk5Mt0rnwN,4,"[0,1]","(2010,2015]",4Ww5mwS7BWYjoZTUIrMHfC,bebop|big band|cool jazz|jazz|jazz fusion|jazz saxophone|uk contemporary jazz,jazz,jazz
John Coltrane,Giant Steps,Mr. P.C.,3DVtZVNqzVdijj75Py1YEY,4,"[0,1]","[1957,2002]",2hGh5VOeeqimQFxqXvfCUf,bebop|free jazz|jazz|jazz saxophone,jazz,jazz
Jane's Addiction,Nothing's Shocking,Had a Dad,3HVS01vPf5NMGS7ACAyEXv,4,"(24,85]","[1957,2002]",02NfyD6AlLA12crYzw5YcR,alternative metal|alternative rock|blues rock|funk metal|funk rock|grunge|nu metal|permanent wave|pop rock|rap rock|rock,alternative,alternative
John Coltrane,Coltrane's Sound,Body and Soul,26bnmztmGcY03sO1uWmoTd,4,"(24,85]","[1957,2002]",2hGh5VOeeqimQFxqXvfCUf,bebop|free jazz|jazz|jazz saxophone,jazz,jazz
The Mars Volta,Frances the Mute,Multiple Spouse Wounds,5Lyi0JsUoPIb3sKPaC4FFn,4,"[0,1]","(2002,2010]",75U40yZLLPglFgXbDVnmVs,alternative metal|el paso indie,alternative,alternative
Lee Morgan,Cornbread,Our Man Higgins,6Ay3xLmG2zLku1ZM0RytBc,4,"(1,24]","[1957,2002]",38C3okxv3fyyOIQUVPCdGX,bebop|big band|free jazz|hard bop|jazz|jazz trumpet|soul jazz,jazz,jazz
The Dear Hunter,"Act II: The Meaning Of, And All Things Regarding Ms. Leading",The Procession,4aa7donkNtMAJSXafvkbba,3,"[0,1]","(2002,2010]",51lE580QM13Anmb3mK2j1e,dreamo|progressive jazz fusion|progressive post-hardcore,jazz,jazz
Frédéric Chopin,Chopin Nocturnes,"Nocturnes, Op. 9: No. 1 in B-Flat Minor",06xJJG3SSpgx1GeQZNH7mi,4,"(24,85]","(2015,2022]",7y97mc3bZRFXzT2szRM4L4,classical|early romantic era|polish classical,classical,other
The Dear Hunter,"Act II: The Meaning Of, And All Things Regarding Ms. Leading",Black Sandy Beaches,34o2FXUgvjHHYr3LtA0uGI,3,"[0,1]","(2002,2010]",51lE580QM13Anmb3mK2j1e,dreamo|progressive jazz fusion|progressive post-hardcore,jazz,jazz
KNOWER,Let Go,Something More,30DlhZ982J4ONXhNYoXqTz,4,"(1,24]","(2010,2015]",7fVp0A6oCMfiQJihMnY0SZ,la pop,pop,pop
Slint,Spiderland,For Dinner…,1jTWZ39Hv3anDbjR353SPR,4,"[0,1]","[1957,2002]",4IwOItqRhsIoRuD5HP4vyC,alternative rock|art rock|dream pop|experimental|experimental rock|indie rock|louisville underground|math rock|post-hardcore|post-punk|post-rock|slowcore,alternative,alternative
Charles Mingus,The Clown,Haitian Fight Song,7iRXxr5SlW13UYlVg2V6Zt,4,"(24,85]","[1957,2002]",1W8TbFzNS15VwsempfY12H,avant-garde jazz|bebop|contemporary post-bop|cool jazz|electric bass|free jazz|hard bop|jazz|jazz double bass|jazz fusion|uk contemporary jazz,jazz,jazz
Nancy Wilson,Nancy Wilson/Cannonball Adderley,The Masquerade Is Over,1jf3wYtynxiPOdhqAp3cUN,3,"(24,85]","[1957,2002]",2JfVCMa3FlvQRlLT5uH9zb,adult standards|lounge|vocal jazz,jazz,jazz
Frédéric Chopin,Chopin Nocturnes,"Nocturnes, Op. 37: No. 2 in G Major",1MoCe6ibUiO5yjsOIIgt1T,3,"(1,24]","(2015,2022]",7y97mc3bZRFXzT2szRM4L4,classical|early romantic era|polish classical,classical,other
Jane's Addiction,Nothing's Shocking,Idiots Rule,51Nh6X9tfaBLQF3YyK6s2A,4,"(24,85]","[1957,2002]",02NfyD6AlLA12crYzw5YcR,alternative metal|alternative rock|blues rock|funk metal|funk rock|grunge|nu metal|permanent wave|pop rock|rap rock|rock,alternative,alternative
Death Grips,Year Of The Snitch,Outro,3iCfvI6rtBhe0iWHAZs529,4,"(24,85]","(2015,2022]",5RADpgYLOuS2ZxDq7ggYYH,escape room|experimental hip-hop|industrial hip-hop,experimental,other
Veronik,Anómala,Crisálida,2V9OOOaIqR4JKbmtY1SKkK,3,"[0,1]","(2015,2022]",581TNInp3mZTmJ1R1q2k1B,,,Not Assigned
Frank Black,Scott Pilgrim vs. the World (Original Motion Picture Soundtrack),I Heard Ramona Sing,3QM62YlDnbPAGrPiNcPSTn,3,"[0,1]","(2002,2010]",0LyfQWJT6nXafLPZqxe9Of,,,Not Assigned
VHS Head,Trademark Ribbons of Gold,Franco Zoom to Nowhere,2fcCY8v7wqTjdDP72V8yrU,4,"(1,24]","(2002,2010]",4yeeydDo3JBOENa72J7KdV,vaporwave,vaporwave,other
Flying Lotus,Cosmogramma,Arkestry,5SZw9E4I8wQfJaVJkVUlaY,4,"(24,85]","(2002,2010]",29XOeO6KIWxGthejQqn793,afrofuturism|alternative hip-hop|electronica|escape room|experimental hip-hop|glitch|glitch hop|hip-hop|intelligent dance music|jazztronica|psychedelic hip-hop|wonky,alternative,alternative
Macross 82-99,CHAM!,Dark City,0vC2Q9Xa4uoINi4Jvh8U1u,4,"(24,85]","(2010,2015]",5C8KyBfvAz9PSaOd30eIow,future funk|kawaii future bass|vaporwave,bass,other
Tina Guo,Game On!,Chrono Trigger,1QmSpNAeoFkNxq4rivmegt,4,"(1,24]","(2015,2022]",46T4yCHjQfVxokuATj1SiV,cello,cello,other
Sonny Stitt Quartet,Tune-Up!/Constellation,Groovin' High,1JR8ohWyjB8H8IJimNBCCi,4,"[0,1]","(2002,2010]",03Sna6rwmroeEViv4M4K8H,bebop|hard bop|jazz quartet,jazz,jazz
