duration_ms,popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,album.release_year,artist.popularity,artist.number_of_followers
247066,9,0.749,0.625,-7.379,0.0318,0.813,0.00135,0.115,0.592,96.986,2015,38,36295
130812,0,0.355,0.0703,-15.84,0.0383,0.992,0.88,0.0848,0.262,140.91,2017,0,3
297125,0,0.694,0.798,-12.542,0.0385,0.239,0.862,0.104,0.789,117.978,2017,0,1738944
166000,36,0.606,0.793,-7.422,0.0318,0.00698,0.454,0.3,0.773,119.986,2015,52,190966
135986,46,0.413,0.396,-19.976,0.0641,0.926,0.875,0.104,0.842,97.042,1965,34,2830
164520,0,0.614,0.666,-6.601,0.0351,0.459,0.0579,0.146,0.55,79.938,2009,65,1348978
362040,8,0.407,0.0376,-21.348,0.0418,0.973,0.739,0.19,0.0477,76.706,2004,51,113064
266080,14,0.613,0.502,-8.724,0.0318,0.0643,0.84,0.0372,0.486,90.001,2015,38,36295
180133,0,0.684,0.33,-10.224,0.0441,0.917,0.892,0.32,0.75,99.237,2002,53,540626
231050,0,0.674,0.51,-6.986,0.0307,0.36,0,0.114,0.41,121.038,2013,0,36
287440,35,0.523,0.667,-7.283,0.0682,0.608,0.0227,0.332,0.665,108.162,1959,44,188893
240052,0,0.454,0.394,-8.642,0.0337,0.931,0.279,0.312,0.391,124.597,2015,53,540626
216573,30,0.414,0.928,-4.858,0.343,0.0452,0.00787,0.228,0.101,136.865,2010,57,714382
155466,0,0.518,0.281,-11.149,0.101,0.902,0.00433,0.0871,0.661,78.909,2002,53,540626
186973,70,0.571,0.539,-4.446,0.116,0.0208,0,0.125,0.727,202.103,2016,89,45443239
7070,0,0,0.159,-18.634,0,0.712,0,0,0,0,2015,35,9673
264098,20,0.577,0.664,-8.079,0.0343,0.11,0.0135,0.17,0.57,122.037,2016,37,88698
286880,9,0.338,0.0168,-26.909,0.0381,0.991,0.923,0.1,0.169,101.347,2016,74,2898005
224507,0,0.779,0.47,-8.618,0.11,0.00171,0.0142,0.109,0.811,124.026,2018,43,58437
222200,1,0.397,0.404,-19.756,0.0843,0.94,0.868,0.567,0.813,72.891,1965,34,2830
247200,31,0.424,0.933,-6.046,0.0979,0.00838,0.00316,0.0649,0.486,165.387,2011,65,1348978
