artist,album,track,uri,duration_ms,popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,popularity_levels,album.release_year,album.release_year_category,artist.id,artist.genres,artist.popularity,artist.number_of_followers,estimated_genre_type,genre_category
John Coltrane,Coltrane Plays the Blues,Untitled Original (Exotica) - Alternate Take,6hIpfpjnxLZdj5ZD9HMRmv,321466,14,0.38,0.348,-15.177,0.0287,0.737,0.0333,0.124,0.259,136.51,4,"(1,24]",1962,"[1957,2002]",2hGh5VOeeqimQFxqXvfCUf,bebop|free jazz|jazz|jazz saxophone,65,1480095,jazz,jazz
The Flashbulb,Hardscrabble,Seq Changing Airborne,7v9u9PwUjN1owN3rz1LuaA,245746,7,0.515,0.567,-11.503,0.254,0.252,0.893,0.109,0.501,130.001,5,"(1,24]",2012,"(2010,2015]",6mMCSCuTbGU6kNr4303LwH,breakcore|drill and bass|intelligent dance music,41,49926,dance,dance
Portugal. The Man,The Satanic Satanist,Work All Day,2g4KPhbi3sb1O2JulSqaek,178946,0,0.685,0.846,-4.816,0.0294,0.337,9.94e-05,0.144,0.92,83.942,4,"[0,1]",2009,"(2002,2010]",4kI8Ie27vjvonwaB2ePh8T,modern alternative rock|modern rock|rock,65,1348978,alternative,alternative
Charles McPherson,Siku Ya Bibi,Miss Brown To You,0ZfaDRoDotnWm19nNGmx1l,284081,0,0.524,0.435,-11.226,0.0356,0.819,0.0538,0.284,0.715,101.224,5,"[0,1]",1991,"[1957,2002]",6iRat96avb9tai5DCUZ7qf,,10,1884,,Not Assigned
KNOWER,Let Go,Spotlight (feat. Vikram),45cgY0HWfz7CLxWtxhoK9B,197032,12,0.438,0.856,-6.137,0.421,0.0154,0.000747,0.128,0.383,154.914,4,"(1,24]",2013,"(2010,2015]",7fVp0A6oCMfiQJihMnY0SZ,la pop,37,88698,pop,pop
Charlie Parker,Charlie Parker With Strings,They Can't Take That Away From Me - Take 1 / Alternate,0f7mXdKyU3UyUBRjoRToir,207546,0,0.431,0.287,-10.675,0.0335,0.965,0.273,0.14,0.603,125.887,4,"[0,1]",2015,"(2010,2015]",4Ww5mwS7BWYjoZTUIrMHfC,bebop|big band|cool jazz|jazz|jazz fusion|jazz saxophone|uk contemporary jazz,53,540626,jazz,jazz
Esther Van Hees,Gelukkig Zijn,Horizontaal,1hDuixgO7BJ4z5PKP428hK,172040,0,0.521,0.189,-12.234,0.0634,0.938,1.58e-05,0.0957,0.587,169.18,4,"[0,1]",2019,"(2015,2022]",6rdunXeB8Ngew2U0ZEKzyZ,,14,223,,Not Assigned
Anamanaguchi,Endless Fantasy,Meow,0Rx2P6lc1YIAvpalv5OL17,211239,0,0.485,0.967,-3.845,0.0691,0.000641,0.401,0.441,0.333,100.253,4,"[0,1]",2013,"(2010,2015]",2UwJRAgSOi1zcLkvUNc8XL,bitpop|chiptune|indie game soundtrack|nintendocore,51,173496,indie,indie
Silversun Pickups,Carnavas,Dream at Tempo 119,15kndWjDYW1vLstH29tUBP,292360,0,0.418,0.841,-6.456,0.0534,0.0241,0.000346,0.0883,0.105,134.383,5,"[0,1]",2007,"(2002,2010]",6qyi8X6MdP1lu6B1K6yh3h,alternative rock|indie rock|la indie|modern rock|rock,57,591926,alternative,alternative
Miles Davis,Kind Of Blue,Blue in Green (feat. John Coltrane & Bill Evans),6bP4GyrKNbcKPMDqWJqpxI,337160,49,0.355,0.0326,-21.053,0.0383,0.795,0.00162,0.109,0.145,170.272,3,"(24,85]",1959,"[1957,2002]",0kbYTNQb4Pb1rPbbaF0pT4,cool jazz|hard bop|jazz|jazz fusion|jazz trumpet|uk contemporary jazz,63,2347037,jazz,jazz
Terell Stafford,New Beginnings,Berda's Bounce,2eHpiKyB24gmzoy9ybIn8w,377533,0,0.483,0.565,-8.346,0.0567,0.365,0.709,0.298,0.623,143.639,4,"[0,1]",2003,"(2002,2010]",7rF1f3ZbidUhK24k7N8RcB,jazz trumpet,26,2980,jazz,jazz
Silversun Pickups,Carnavas,Common Reactor,5ywONxekV1a3MC0z28g0Oy,361066,0,0.39,0.934,-4.441,0.139,0.00459,0.00387,0.114,0.318,131.433,4,"[0,1]",2007,"(2002,2010]",6qyi8X6MdP1lu6B1K6yh3h,alternative rock|indie rock|la indie|modern rock|rock,57,591926,alternative,alternative
Dave Liebman,Solo (Live in New York),Brothers (Live),0mL6BhHjXuEIgjkT9vhGdJ,294876,0,0.331,0.116,-23.974,0.112,0.864,0.726,0.687,0.325,66.393,4,"[0,1]",2015,"(2010,2015]",429bUEZe2Hq5QJvO2CmhLn,avant-garde jazz|contemporary jazz|contemporary post-bop|ecm-style jazz|free jazz|italian jazz|japanese jazz|jazz|jazz fusion|jazz saxophone|swedish jazz|uk contemporary jazz,35,9673,jazz,jazz
Portugal. The Man,In the Mountain in the Cloud,Sleep Forever,1l5lKWHRfyY7Y3FvDBXlvJ,380546,47,0.513,0.467,-8.305,0.0295,0.367,0.000542,0.319,0.31,145.027,4,"(24,85]",2011,"(2010,2015]",4kI8Ie27vjvonwaB2ePh8T,modern alternative rock|modern rock|rock,65,1348978,alternative,alternative
Venetian Snares,Detrimentalist,Miss Balaton,1erOr4ihldVqbz98BSURcy,578400,0,0.611,0.962,-3.129,0.284,0.169,0.831,0.0983,0.0673,160.03,4,"[0,1]",2008,"(2002,2010]",7eKIP3IoPoUAZgZuvMM6hf,braindance|breakcore|drill and bass|hardcore techno|intelligent dance music,37,98895,dance,dance
John Coltrane,Giant Steps,Syeeda's Song Flute,6ajMQchIMdFZZfcJZiKhm0,425626,0,0.597,0.197,-16.144,0.0516,0.676,0.0168,0.128,0.41,93.371,4,"[0,1]",1960,"[1957,2002]",2hGh5VOeeqimQFxqXvfCUf,bebop|free jazz|jazz|jazz saxophone,65,1480095,jazz,jazz
Blood Red Shoes,Scott Pilgrim vs. the World (Original Motion Picture Soundtrack),It's Getting Boring By The Sea,7MB6Ngq9bS2T1WZq3uw1rA,175720,0,0.476,0.977,-3.573,0.159,0.0207,0,0.117,0.145,151.931,4,"[0,1]",2010,"(2002,2010]",0LyfQWJT6nXafLPZqxe9Of,,0,1738944,,Not Assigned
Monk Rowe,Jazz Life,Beyond Category,7CPyVZJbIUAsPzaCHmLXXg,323160,0,0.631,0.177,-14.557,0.0507,0.963,0.787,0.107,0.463,124.477,4,"[0,1]",1999,"[1957,2002]",4KXCf2cfl81bcPjvgCB37p,,0,20,,Not Assigned
re:plus,Miscellany,Everblue,41f6RlGnuEHLNWQDc34KbL,187186,13,0.739,0.661,-9.685,0.117,0.463,0.000249,0.0598,0.771,104.999,4,"(1,24]",2015,"(2010,2015]",6ftHlqrtNdAq0bWL7zkaTG,ambeat|japanese jazz fusion,38,36295,jazz,jazz
